seg_th,part_energy(W/m2)
487,36590.210938
488,39156.894531
489,41420.199219
490,43294.105469
491,44711.148438
492,45639.316406
493,46075.113281
494,46028.714844
495,45514.113281
496,44536.367188
497,43106.378906
498,41239.949219
499,38981.738281
500,36403.238281
501,33602.792969
502,30699.968750
503,27806.240234
504,25009.644531
505,22379.519531
506,19954.902344
507,17760.009766
508,15809.936523
509,14121.198242
510,12704.778320
511,11555.286133
512,10644.407227
513,9927.600586
514,9348.233398
515,8862.521484
516,8447.614258
517,8116.673828
518,7896.761719
519,7818.922363

520,7804.416504
521,7891.324219
522,8139.171875
523,8513.551758
524,8978.874023
525,9514.097656
526,10126.336914
527,10854.749023
528,11755.583008
529,12887.967773
530,14296.189453
531,16000.716797
532,17997.919922
533,20262.976562
534,22762.072266
535,25447.478516
536,28259.054688
537,31135.759766
538,33999.363281
539,36760.882812
540,39319.113281
541,41576.664062
542,43448.335938
543,44867.062500
544,45798.195312
545,46235.347656
546,46185.363281
547,45662.175781
548,44673.222656
549,43233.046875
550,41361.675781
551,39105.390625
552,36535.031250
553,33744.835938
554,30849.390625
555,27956.505859
556,25152.390625
557,22507.316406
558,20062.878906
559,17846.433594
560,15874.967773
561,14167.041016
562,12733.791016
563,11570.914062
564,10650.604492
565,9930.363281
566,9353.407227
567,8875.466797
568,8471.179688
569,8150.897461
570,7938.825684
571,7863.695801

572,7816.161621
573,7901.832031
574,8146.554199
575,8518.229492
576,8983.237305
577,9521.739258
578,10140.807617
579,10878.476562
580,11789.708984
581,12931.899414
582,14349.721680
583,16064.574219
584,18073.980469
585,20352.878906
586,22865.570312
587,25561.628906
588,28377.744141
589,31250.513672
590,34102.132812
591,36846.308594
592,39386.687500
593,41630.324219
594,43493.703125
595,44910.585938
596,45843.824219
597,46284.109375
598,46235.414062
599,45711.695312
600,44722.625000
601,43285.031250
602,41421.253906
603,39177.339844
604,36622.074219
605,33845.414062
606,30957.298828
607,28062.962891
608,25248.238281
609,22585.519531
610,20120.406250
611,17884.216797
612,15896.253906
613,14176.221680
614,12733.963867
615,11564.394531
616,10638.933594
617,9916.351562
618,9340.055664
619,8866.250977
620,8468.420898
621,8155.054688
622,7948.324219
623,7875.062988

624,7814.223145
625,7898.623535
626,8140.039062
627,8508.424805
628,8972.412109
629,9513.666016
630,10139.820312
631,10887.975586
632,11811.655273
633,12965.596680
634,14393.605469
635,16117.246094
636,18134.851562
637,20422.140625
638,22942.564453
639,25644.224609
640,28461.218750
641,31327.226562
642,34164.289062
643,36887.828125
644,39406.371094
645,41631.445312
646,43481.875000
647,44892.750000
648,45825.386719
649,46268.316406
650,46223.812500
651,45706.125000
652,44726.542969
653,43302.160156
654,41455.363281
655,39230.039062
656,36691.863281
657,33927.402344
658,31042.964844
659,28142.750000
660,25313.638672
661,22631.134766
662,20145.812500
663,17893.343750
664,15895.482422
665,14171.920898
666,12729.685547
667,11560.772461
668,10634.443359
669,9909.650391
670,9330.417969
671,8854.510742
672,8456.064453
673,8143.221191
674,7937.476562
675,7864.600098

676,7802.641113
677,7886.073242
678,8124.883789
679,8490.609375
680,8954.121094
681,9498.616211
682,10132.676758
683,10892.698242
684,11830.849609
685,12998.625977
686,14437.899414
687,16169.510742
688,18192.054688
689,20482.958984
690,23006.183594
691,25709.957031
692,28526.949219
693,31387.718750
694,34213.152344
695,36918.570312
696,39416.121094
697,41620.992188
698,43454.730469
699,44854.292969
700,45781.250000
701,46223.414062
702,46183.078125
703,45674.816406
704,44710.804688
705,43306.183594
706,41481.218750
707,39276.187500
708,36753.265625
709,33996.808594
710,31111.056641
711,28200.470703
712,25354.250000
713,22651.693359
714,20148.841797
715,17885.605469
716,15885.958008
717,14168.193359
718,12735.217773
719,11574.071289
720,10650.845703
721,9923.660156
722,9337.667969
723,8853.175781
724,8446.750000
725,8127.758301
726,7918.417969
727,7844.380371

728,7786.458008
729,7869.454590
730,8106.990234
731,8471.647461
732,8936.204102
733,9485.108398
734,10127.827148
735,10900.116211
736,11852.886719
737,13034.291016
738,14483.666016
739,16220.655273
740,18243.849609
741,20533.291016
742,23054.939453
743,25758.781250
744,28577.292969
745,31437.966797
746,34259.097656
747,36953.820312
748,39435.722656
749,41622.289062
750,43437.937500
751,44822.027344
752,45738.339844
753,46175.488281
754,46137.265625
755,45638.566406
756,44691.531250
757,43307.898438
758,41504.410156
759,39317.218750
760,36805.082031
761,34051.492188
762,31159.925781
763,28236.050781
764,25372.148438
765,22651.611328
766,20135.867188
767,17868.605469
768,15875.413086
769,14171.903320
770,12755.928711
771,11608.192383
772,10691.022461
773,9960.970703
774,9364.847656
775,8866.193359
776,8445.473633
777,8114.612793
778,7897.730469
779,7821.197754

780,7765.850586
781,7849.042969
782,8086.977539
783,8452.757812
784,8920.578125
785,9475.680664
786,10128.095703
787,10912.750000
788,11879.273438
789,13072.713867
790,14529.628906
791,16268.428711
792,18287.841797
793,20571.269531
794,23088.068359
795,25791.144531
796,28613.832031
797,31480.650391
798,34306.019531
799,36999.074219
800,39472.632812
801,41645.136719
802,43443.937500
803,44811.113281
804,45714.089844
805,46143.218750
806,46104.566406
807,45613.027344
808,44680.113281
809,43313.843750
810,41527.257812
811,39352.863281
812,36846.597656
813,34091.765625
814,31191.839844
815,28253.816406
816,25373.208984
817,22637.544922
818,20113.210938
819,17847.113281
820,15865.805664
821,14181.352539
822,12786.193359
823,11654.302734
824,10744.250977
825,10010.721680
826,9402.599609
827,8886.885742
828,8448.667969
829,8103.076172
830,7876.665527
831,7796.984375

832,7746.807129
833,7830.731934
834,8070.572754
835,8439.497070
836,8912.495117
837,9475.053711
838,10137.253906
839,10932.789062
840,11909.846680
841,13110.948242
842,14570.083984
843,16305.020508
844,18315.353516
845,20588.373047
846,23097.845703
847,25800.093750
848,28629.781250
849,31508.550781
850,34346.101562
851,37046.531250
852,39520.214844
853,41685.449219
854,43472.250000
855,44825.468750
856,45716.339844
857,46137.101562
858,46096.046875
859,45607.699219
860,44682.804688
861,43326.777344
862,41549.933594
863,39382.421875
864,36878.023438
865,34119.746094
866,31210.974609
867,28259.531250
868,25363.968750
869,22615.697266
870,20085.591797
871,17823.193359
872,15855.476562
873,14190.628906
874,12815.936523
875,11699.303711
876,10795.930664
877,10058.759766
878,9438.843750
879,8906.354492
880,8450.906250
881,8090.760742
882,7854.880859
883,7772.080566

884,7730.933594
885,7815.898438
886,8058.609863
887,8431.940430
888,8911.098633
889,9481.308594
890,10152.225586
891,10955.883789
892,11938.834961
893,13141.863281
894,14596.927734
895,16322.039062
896,18318.654297
897,20578.035156
898,23078.738281
899,25780.261719
900,28618.601562
901,31512.726562
902,34367.675781
903,37082.546875
904,39564.535156
905,41731.000000
906,43513.988281
907,44860.429688
908,45744.324219
909,46159.144531
910,46114.757812
911,45625.273438
912,44701.089844
913,43347.191406
914,41572.859375
915,39407.375000
916,36903.039062
917,34141.687500
918,31225.937500
919,28263.482422
920,25355.267578
921,22595.929688
922,20060.251953
923,17800.087891
924,15842.637695
925,14192.777344
926,12833.674805
927,11728.666992
928,10830.211914
929,10089.793945
930,9460.305664
931,8914.308594
932,8445.116211
933,8073.430176
934,7830.071777
935,7744.836914

936,7725.963867
937,7811.855469
938,8057.322754
939,8434.689453
940,8918.958984
941,9494.757812
942,10171.143555
943,10978.300781
944,11961.273438
945,13160.052734
946,14605.331055
947,16316.254883
948,18296.841797
949,20541.773438
950,23033.917969
951,25735.103516
952,28582.361328
953,31492.462891
954,34366.792969
955,37100.484375
956,39597.605469
957,41773.960938
958,43562.636719
959,44911.394531
960,45795.234375
961,46207.808594
962,46159.812500
963,45665.136719
964,44734.750000
965,43375.585938
966,41597.628906
967,39430.710938
968,36926.105469
969,34163.535156
970,31243.941406
971,28273.861328
972,25355.771484
973,22586.421875
974,20043.710938
975,17781.455078
976,15827.392578
977,14184.383789
978,12833.206055
979,11734.685547
980,10839.250000
981,10097.144531
982,9462.302734
983,8908.457031
984,8431.304688
985,8052.936035
986,7805.278809
987,7718.695801

988,7730.428223
989,7816.924805
990,8064.518066
991,8444.783203
992,8932.285156
993,9510.777344
994,10188.759766
995,10994.675781
996,11972.379883
997,13162.012695
998,14593.807617
999,16288.581055
1000,18253.154297
1001,20484.603516
1002,22969.050781
1003,25669.886719
1004,28525.001953
1005,31449.802734
1006,34343.550781
1007,37098.695312
1008,39616.378906
1009,41810.035156
1010,43612.574219
1011,44971.531250
1012,45861.542969
1013,46275.902344
1014,46225.441406
1015,45723.964844
1016,44783.269531
1017,43413.703125
1018,41627.320312
1019,39455.832031
1020,36950.500000
1021,34188.652344
1022,31268.841797
1023,28295.482422
1024,25371.187500
1025,22593.232422
1026,20041.576172
1027,17771.849609
1028,15813.070312
1029,14167.865234
1030,12816.646484
1031,11719.727539
1032,10826.121094
1033,10084.845703
1034,9449.809570
1035,8894.552734
1036,8415.754883
1037,8035.801758
1038,7787.130859
1039,7700.308105

1040,7738.065918
1041,7824.803223
1042,8073.710938
1043,8455.470703
1044,8944.070312
1045,9522.226562
1046,10198.152344
1047,10998.996094
1048,11968.019531
1049,13146.272461
1050,14564.249023
1051,16244.370117
1052,18195.792969
1053,20416.585938
1054,22894.855469
1055,25594.990234
1056,28455.917969
1057,31392.974609
1058,34305.015625
1059,37082.933594
1060,39625.007812
1061,41841.195312
1062,43662.835938
1063,45036.398438
1064,45935.648438
1065,46353.546875
1066,46301.097656
1067,45792.093750
1068,44839.183594
1069,43456.429688
1070,41658.625000
1071,39480.222656
1072,36973.519531
1073,34213.835938
1074,31297.121094
1075,28325.091797
1076,25399.246094
1077,22615.707031
1078,20055.250000
1079,17774.851562
1080,15805.429688
1081,14150.983398
1082,12793.395508
1083,11694.257812
1084,10801.874023
1085,10064.057617
1086,9433.668945
1087,8882.802734
1088,8407.817383
1089,8030.502441
1090,7783.459473
1091,7697.258301

1092,7741.094238
1093,7827.871582
1094,8077.650879
1095,8460.029297
1096,8948.289062
1097,9523.875977
1098,10194.995117
1099,10988.173828
1100,11946.833984
1101,13113.588867
1102,14519.871094
1103,16189.345703
1104,18132.626953
1105,20347.365234
1106,22822.242188
1107,25522.240234
1108,28387.460938
1109,31334.308594
1110,34262.570312
1111,37062.246094
1112,39628.941406
1113,41868.335938
1114,43709.531250
1115,45097.898438
1116,46006.871094
1117,46429.656250
1118,46377.296875
1119,45862.980469
1120,44899.222656
1121,43502.730469
1122,41691.097656
1123,39502.210938
1124,36991.046875
1125,34232.207031
1126,31319.644531
1127,28352.333984
1128,25429.582031
1129,22644.927734
1130,20078.570312
1131,17787.978516
1132,15806.162109
1133,14139.423828
1134,12772.326172
1135,11668.962891
1136,10777.742188
1137,10045.464844
1138,9423.377930
1139,8881.285156
1140,8414.247070
1141,8042.781250
1142,7799.414551
1143,7714.492188

1144,7732.239258
1145,7819.193359
1146,8070.166016
1147,8453.368164
1148,8941.118164
1149,9513.295898
1150,10178.333984
1151,10962.989258
1152,11911.676758
1153,13069.125977
1154,14468.247070
1155,16133.216797
1156,18074.984375
1157,20289.601562
1158,22765.099609
1159,25466.837891
1160,28336.085938
1161,31291.011719
