seg_th,part_energy(W/m2)
1281,38128.980469
1282,35110.769531
1283,31885.447266
1284,28469.894531
1285,24909.015625
1286,21277.750000
1287,17682.919922
1288,14244.207031
1289,11079.025391
1290,8286.854492
1291,5935.131348
1292,4050.697510
1293,2621.399902
1294,1599.401733
1295,914.374756
1296,487.160706
1297,243.431290
1298,122.269409
1299,85.987961

1300,108.698082
1301,148.385681
1302,278.682953
1303,533.452087
1304,966.943115
1305,1644.191528
1306,2635.054443
1307,4002.160156
1308,5794.343750
1309,8037.515137
1310,10722.766602
1311,13806.095703
1312,17212.058594
1313,20833.611328
1314,24551.650391
1315,28248.564453
1316,31828.923828
1317,35224.070312
1318,38388.574219
1319,41297.882812
1320,43928.910156
1321,46251.531250
1322,48222.984375
1323,49784.515625
1324,50871.671875
1325,51423.871094
1326,51399.437500
1327,50789.085938
1328,49624.683594
1329,47977.347656
1330,45932.968750
1331,43575.812500
1332,40970.371094
1333,38148.121094
1334,35120.175781
1335,31888.402344
1336,28471.052734
1337,24913.191406
1338,21288.361328
1339,17700.398438
1340,14266.697266
1341,11102.536133
1342,8307.700195
1343,5950.800293
1344,4060.415039
1345,2626.134521
1346,1600.861206
1347,914.220032
1348,486.434906
1349,242.834488
1350,121.673569
1351,85.391075

1352,109.539032
1353,149.415695
1354,280.767181
1355,537.274658
1356,972.994019
1357,1651.670044
1358,2642.172852
1359,4005.425537
1360,5788.009277
1361,8016.633301
1362,10683.001953
1363,13746.680664
1364,17135.734375
1365,20746.125000
1366,24460.373047
1367,28159.726562
1368,31745.835938
1369,35147.246094
1370,38317.777344
1371,41233.148438
1372,43873.046875
1373,46208.351562
1374,48197.171875
1375,49778.171875
1376,50883.839844
1377,51450.683594
1378,51436.535156
1379,50832.812500
1380,49671.261719
1381,48024.160156
1382,45975.730469
1383,43610.179688
1384,40991.699219
1385,38153.175781
1386,35108.960938
1387,31864.101562
1388,28439.019531
1389,24879.509766
1390,21258.935547
1391,17678.496094
1392,14253.482422
1393,11096.260742
1394,8305.865234
1395,5950.815918
1396,4060.477295
1397,2625.542236
1398,1599.905151
1399,913.287659
1400,485.744507
1401,242.494949
1402,121.390579
1403,85.150627

1404,109.317337
1405,149.177261
1406,280.814117
1407,537.963379
1408,974.584961
1409,1653.538574
1410,2643.266357
1411,4003.716797
1412,5779.866211
1413,7998.996094
1414,10653.092773
1415,13703.668945
1416,17080.082031
1417,20679.818359
1418,24386.064453
